001001 x=-3.674499999999992,y=79.6888,w=13.241209999999985,h=2.166700000000006
001002 x=-10.77520000000001,y=78.91120000000002,w=12.702730000000013,h=2.2228000000000065
001003 x=-16.65629999999999,y=78.01099999999995,w=11.88746999999998,h=2.241900000000058
001004 x=-21.5265,y=77.01350000000002,w=10.974699999999979,h=2.2377999999999787
001005 x=-25.5839,y=75.9394,w=10.07060000000001,h=2.220299999999966
001006 x=-28.9948,y=74.80490000000002,w=9.227700000000002,h=2.195699999999988
001007 x=-31.892,y=73.62250000000002,w=8.466100000000008,h=2.167999999999978
001008 x=-34.37889999999998,y=72.40170000000002,w=7.78939999999999,h=2.1396999999999906
001009 x=-36.53590000000001,y=71.14990000000002,w=7.192700000000023,h=2.111899999999963
001010 x=-38.42500000000001,y=69.8729,w=6.668000000000003,h=2.085399999999993
001011 x=-40.0947,y=68.575,w=6.20650000000002,h=2.0604000000000013
001012 x=-41.5829,y=67.25990000000003,w=5.799899999999994,h=2.0370999999999526
001013 x=-42.91969999999998,y=65.93020000000003,w=5.44039999999999,h=2.015599999999978
001014 x=-44.12919999999999,y=64.58819999999999,w=5.121600000000001,h=1.9956000000000103
001015 x=-45.2308,y=63.2356,w=4.837800000000016,h=1.9772000000000034
001016 x=-46.24009999999999,y=61.87389999999999,w=4.5841999999999885,h=1.9603000000000108
001017 x=-47.17029999999999,y=60.50430000000002,w=4.356899999999989,h=1.9447999999999794
001018 x=-48.0319,y=59.12790000000003,w=4.1521999999999935,h=1.9302999999999741
001019 x=-48.8338,y=57.7453,w=3.967499999999994,h=1.9170999999999765
001020 x=-49.58350000000002,y=56.35730000000002,w=3.8000000000000256,h=1.904799999999966
001021 x=-50.28739999999998,y=54.96449999999997,w=3.647999999999989,h=1.8935000000000173
001022 x=-50.95069999999998,y=53.56740000000001,w=3.509299999999996,h=1.8829999999999885
001023 x=-51.57810000000001,y=52.16630000000003,w=3.382700000000007,h=1.8734000000000037
001024 x=-52.17349999999999,y=50.76179999999998,w=3.2668000000000035,h=1.8644000000000176
001025 x=-52.74039999999999,y=49.35399999999999,w=3.1603999999999957,h=1.856100000000005
001026 x=-53.2816,y=47.94319999999998,w=3.0625,h=1.8484999999999943
001027 x=-53.7998,y=46.52979999999999,w=2.9724000000000075,h=1.8413000000000324
001028 x=-54.2973,y=45.11379999999998,w=2.8892000000000024,h=1.8347000000000335
001029 x=-54.77590000000001,y=43.69549999999997,w=2.8122000000000043,h=1.8285000000000196
001030 x=-55.2376,y=42.27510000000002,w=2.74110000000001,h=1.8227999999999795
001031 x=-55.68389999999999,y=40.85270000000001,w=2.6751999999999754,h=1.8174999999999955
001032 x=-56.11619999999999,y=39.42840000000003,w=2.6141000000000147,h=1.8124999999999716
001033 x=-56.53569999999999,y=38.0024,w=2.557299999999998,h=1.8078999999999752
001034 x=-56.94360000000001,y=36.5747,w=2.5046000000000177,h=1.803699999999992
001035 x=-57.34089999999999,y=35.14549999999999,w=2.4557,h=1.7997000000000014
001036 x=-57.72840000000002,y=33.71490000000001,w=2.4101000000000354,h=1.7959999999999852
001037 x=-58.1072,y=32.28289999999998,w=2.367900000000006,h=1.7926000000000357
001038 x=-58.47780000000001,y=30.84960000000002,w=2.3286000000000087,h=1.789499999999979
001039 x=-58.84100000000001,y=29.41519999999998,w=2.2920000000000087,h=1.7864999999999895
001040 x=-59.1974,y=27.97960000000001,w=2.258099999999999,h=1.7837000000000103
001041 x=-59.5477,y=26.54299999999999,w=2.226699999999987,h=1.781200000000002
001042 x=-59.8923,y=25.1054,w=2.197500000000012,h=1.7787999999999897
001043 x=-60.23179999999999,y=23.66680000000001,w=2.17049999999999,h=1.7767000000000124
001044 x=-60.5666,y=22.22730000000001,w=2.145600000000009,h=1.77479999999996
001045 x=-60.89719999999999,y=20.78710000000001,w=2.1226999999999805,h=1.7728999999999893
001046 x=-61.22389999999999,y=19.3461,w=2.1015000000000015,h=1.771200000000011
001047 x=-61.54730000000001,y=17.90429999999999,w=2.0823000000000036,h=1.7697000000000003
001048 x=-61.86750000000001,y=16.46190000000001,w=2.06460000000002,h=1.7683999999999997
001049 x=-62.18510000000001,y=15.01889999999999,w=2.048700000000011,h=1.7671000000000294
001050 x=-62.5002,y=13.57540000000001,w=2.0341999999999985,h=1.76589999999997
001051 x=-62.8132,y=12.13130000000002,w=2.0213000000000036,h=1.7649999999999686
001052 x=-63.12449999999999,y=10.68679999999999,w=2.0098999999999876,h=1.764100000000001
001053 x=-63.4343,y=9.241880000000018,w=1.999999999999993,h=1.7632199999999827
001054 x=-63.74289999999999,y=7.796580000000022,w=1.991500000000002,h=1.7625799999999803
001055 x=-64.0505,y=6.35095000000002,w=1.9842000000000226,h=1.7620299999999558
001056 x=-64.3575,y=4.905060000000008,w=1.9784000000000148,h=1.7615599999999976
001057 x=-64.6641,y=3.458920000000014,w=1.9739000000000217,h=1.7612299999999914
001058 x=-64.9705,y=2.012599999999996,w=1.9706000000000046,h=1.7609800000000089
001059 x=-65.2771,y=0.56616,w=1.9687000000000054,h=1.7608200000000012
001060 x=-65.584,y=-0.8803900000000042,w=1.9680000000000106,h=1.7607800000000284
001061 x=-65.8916,y=-2.326980000000001,w=1.9686999999999841,h=1.7608200000000012
001062 x=-66.20009999999999,y=-3.773569999999997,w=1.9705999999999904,h=1.7609800000000102
001063 x=-66.50980000000001,y=-5.22013000000001,w=1.9739000000000004,h=1.7612200000000038
001064 x=-66.8209,y=-6.666609999999997,w=1.9783999999999935,h=1.7615799999999924
001065 x=-67.1337,y=-8.112979999999997,w=1.9842000000000013,h=1.7620399999999847
001066 x=-67.4486,y=-9.559149999999994,w=1.9914999999999878,h=1.7625899999999879
001067 x=-67.7657,y=-11.0051,w=2.0,h=1.7632299999999912
001068 x=-68.08539999999999,y=-12.45079999999999,w=2.0098999999999876,h=1.7639999999999798
001069 x=-68.40810000000002,y=-13.89629999999999,w=2.0213000000000108,h=1.7649999999999686
001070 x=-68.7341,y=-15.34129999999998,w=2.0343000000000018,h=1.76589999999997
001071 x=-69.06359999999997,y=-16.786,w=2.048699999999968,h=1.7670999999999921
001072 x=-69.3971,y=-18.23030000000001,w=2.0645999999999987,h=1.7683999999999997
001073 x=-69.735,y=-19.67400000000001,w=2.082300000000018,h=1.7697000000000003
001074 x=-70.0776,y=-21.11729999999999,w=2.1015000000000015,h=1.7711999999999897
001075 x=-70.4255,y=-22.56,w=2.1226999999999947,h=1.7728999999999893
001076 x=-70.779,y=-24.00209999999999,w=2.1456000000000017,h=1.7747999999999813
001077 x=-71.1387,y=-25.4435,w=2.1705000000000183,h=1.7767000000000088
001078 x=-71.5052,y=-26.88419999999999,w=2.197500000000005,h=1.7788999999999895
001079 x=-71.879,y=-28.32419999999999,w=2.226700000000008,h=1.7811999999999806
001080 x=-72.2607,y=-29.76330000000002,w=2.258100000000013,h=1.7837000000000103
